Date,Tweets
2016-11-27,19864.0
2016-11-28,22289.0
2016-11-29,21602.0
2016-11-30,21457.0
2016-12-01,21117.0
2016-12-02,20335.0
2016-12-03,16186.0
2016-12-04,16345.0
2016-12-05,18558.0
2016-12-06,20236.0
2016-12-07,21592.0
2016-12-08,21302.0
2016-12-09,19749.0
2016-12-10,18331.0
2016-12-11,16070.0
2016-12-12,18775.0
2016-12-13,20749.0
2016-12-14,21101.0
2016-12-15,19341.0
2016-12-16,19242.0
2016-12-17,18364.0
2016-12-18,18930.0
2016-12-19,25718.0
2016-12-20,22945.0
2016-12-21,25531.0
2016-12-22,27288.0
2016-12-23,29448.0
2016-12-24,22045.0
2016-12-25,17925.0
2016-12-26,19894.0
2016-12-27,22525.0
2016-12-28,24151.0
2016-12-29,22502.0
2016-12-30,18971.0
2016-12-31,18483.0
2017-01-01,21071.0
2017-01-02,26461.0
2017-01-03,27269.0
2017-01-04,31611.0
2017-01-05,33407.0
2017-01-06,29065.0
2017-01-07,22717.0
2017-01-08,19595.0
2017-01-09,23277.0
2017-01-10,22918.0
2017-01-11,29228.0
2017-01-12,30387.0
2017-01-13,28785.0
2017-01-14,22367.0
2017-01-15,22232.0
2017-01-16,24103.0
2017-01-17,25648.0
2017-01-18,26491.0
2017-01-19,27848.0
2017-01-20,23365.0
2017-01-21,20833.0
2017-01-22,20816.0
2017-01-23,24809.0
2017-01-24,28304.0
2017-01-25,27278.0
2017-01-26,24366.0
2017-01-27,23178.0
2017-01-28,21300.0
2017-01-29,20789.0
2017-01-30,27170.0
2017-01-31,23711.0
2017-02-01,22600.0
2017-02-02,23547.0
2017-02-03,26694.0
2017-02-04,27112.0
2017-02-05,23530.0
2017-02-06,29026.0
2017-02-07,30138.0
2017-02-08,26445.0
2017-02-09,27886.0
2017-02-10,26096.0
2017-02-11,26759.0
2017-02-12,27211.0
2017-02-13,24621.0
2017-02-14,27568.0
2017-02-15,26945.0
2017-02-16,24357.0
2017-02-17,26355.0
2017-02-18,21344.0
2017-02-19,19946.0
2017-02-20,26113.0
2017-02-21,25187.0
2017-02-22,26751.0
2017-02-23,27929.0
2017-02-24,37286.0
2017-02-25,24005.0
2017-02-26,27326.0
2017-02-27,24703.0
2017-02-28,23501.0
2017-03-01,25248.0
2017-03-02,28277.0
2017-03-03,31848.0
2017-03-04,24535.0
2017-03-05,22507.0
2017-03-06,29476.0
2017-03-07,31214.0
2017-03-08,28463.0
2017-03-09,29362.0
2017-03-10,36952.0
2017-03-11,30193.0
2017-03-12,26226.0
2017-03-13,27414.0
2017-03-14,27110.0
2017-03-15,25560.0
2017-03-16,26412.0
2017-03-17,28612.0
2017-03-18,25964.0
2017-03-19,26859.0
2017-03-20,30480.0
2017-03-21,29659.0
2017-03-22,32507.0
2017-03-23,39969.0
